"ant","ts","fullID","freq","freq.sd","sig","sig.sd","noise","run.id","pos.in.run","slop","burst.slop","ant.freq"
2,1697171302.5785,252#407@166.38:8.9,5.547,0.00575,-64.6,6.9,-83.3,1810,7,0.0003,-0.0002,0
3,1697171302.5787,252#407@166.38:8.9,5.498,0.00575,-75.7,21.3,-84,1827,1,0.0004,0,0
4,1697171302.5788,252#407@166.38:8.9,5.899,0.00319,-72,12.5,-82.7,1789,22,0.0002,0.0001,0
2,1697171311.4769,252#407@166.38:8.9,5.557,0.0122,-68.7,11.2,-83.3,1810,8,0.0001,0.0001,0
4,1697171320.375,252#407@166.38:8.9,5.906,0.0141,-72.7,13.8,-82.8,1789,23,0.0003,0.000299,0
2,1697171320.375,252#407@166.38:8.9,5.554,0.00597,-64.1,8.32,-83,1810,9,0.0003,0.0002,0
4,1697171329.2731,252#407@166.38:8.9,5.905,0.00813,-72.6,11.7,-82.6,1789,24,0.0003,-0.0001,0
2,1697171329.273,252#407@166.38:8.9,5.555,0.00451,-63,6.61,-83.1,1810,10,0.0003,-0.0002,0
4,1697171338.1712,252#407@166.38:8.9,5.898,0.0108,-74.5,19.8,-82.7,1789,25,0.0005,-0.0001,0
3,1697171338.1711,252#407@166.38:8.9,5.492,0.00813,-74.7,5.53,-83.3,1834,1,0.0003,0,0
2,1697171338.1711,252#407@166.38:8.9,5.549,0.00391,-62.5,5.51,-82.6,1810,11,0.0008,-0.0002,0
2,1697171347.0692,252#407@166.38:8.9,5.551,0.00504,-61.6,7.17,-83.1,1810,12,0.0003,-0.0002,0
3,1697171347.0694,252#407@166.38:8.9,5.495,0.0138,-75.3,10.6,-83.6,1834,2,0.0009,0.0001,0
4,1697171347.0693,252#407@166.38:8.9,5.899,0.0126,-74.6,8.82,-82.4,1789,26,0.0004,0.0001,0
2,1697171355.9673,252#407@166.38:8.9,5.555,0.00276,-61.7,8.73,-82.9,1810,13,0.0003,-0.0002,0
4,1697171355.9674,252#407@166.38:8.9,5.908,0.00677,-74.5,1.65,-82.9,1789,27,0.0003,-0.0002,0
2,1697171364.8657,252#407@166.38:8.9,5.553,0.00552,-61.5,5.51,-83.1,1810,14,0.0001,0.0001,0
4,1697171364.8655,252#407@166.38:8.9,5.907,0.00677,-73.7,6.52,-82.5,1789,28,0.0008,-0.0002,0
4,1697171373.7636,252#407@166.38:8.9,5.909,0.0144,-72.8,19.3,-82.1,1789,29,0.0003,-0.0002,0
2,1697171373.7637,252#407@166.38:8.9,5.551,0.00552,-61.2,8.25,-82.2,1810,15,0.0004,0,0
3,1697171373.7636,252#407@166.38:8.9,5.496,0.0224,-74.9,14.2,-82.9,1838,1,0.0003,0,0
4,1697171382.6618,252#407@166.38:8.9,5.902,0.00504,-73.6,11.8,-83,1789,30,0.0003,-0.0001,0
2,1697171382.6619,252#407@166.38:8.9,5.551,0.00575,-60.8,3.18,-82.9,1810,16,0.0003,-0.0001,0
4,1697171391.5601,252#407@166.38:8.9,5.9,0.00813,-72.6,9.62,-83,1789,31,9.99e-05,0.0001,0
2,1697171391.56,252#407@166.38:8.9,5.552,0,-60.2,1.62,-82.7,1810,17,0.0003,-0.0001,0
4,1697171400.4582,252#407@166.38:8.9,5.901,0.00781,-73.4,14.7,-83.3,1789,32,0.0001,0.0001,0
2,1697171400.4581,252#407@166.38:8.9,5.551,0.00695,-60.3,5.97,-83.5,1810,18,0.0003,-0.0001,0
2,1697171409.3561,252#407@166.38:8.9,5.549,0.00422,-59.5,6.12,-81.8,1810,19,0.0003,-0.0002,0
4,1697171418.2545,252#407@166.38:8.9,5.914,0.0156,-74.8,6.61,-82.7,1843,1,0.0002,0,0
2,1697171418.2545,252#407@166.38:8.9,5.549,0.00226,-59.7,5.6,-82.7,1810,20,9.97e-05,0.0001,0
4,1697171427.1526,252#407@166.38:8.9,5.9,0.00748,-74,18.9,-82.5,1843,2,0.0007,0.0001,0
2,1697171427.1526,252#407@166.38:8.9,5.552,0.00391,-59.7,8.22,-82.6,1810,21,0.0004,0.0001,0
2,1697171436.0507,252#407@166.38:8.9,5.549,0.00319,-59.6,9.24,-82.7,1810,22,0.0003,-0.0002,0
4,1697171436.0507,252#407@166.38:8.9,5.894,0.0108,-74,10.4,-82.7,1843,3,0.0003,-0.0001,0
4,1697171444.9488,252#407@166.38:8.9,5.899,0.0128,-74,14.4,-81.9,1843,4,0.0003,-0.0001,0
2,1697171444.9488,252#407@166.38:8.9,5.547,0.00529,-59.9,2.74,-82,1810,23,0.0007,-0.0001,0
4,1697171453.8469,252#407@166.38:8.9,5.895,0.00552,-74,17.7,-83.1,1843,5,0.0004,-0.0001,0
2,1697171453.8469,252#407@166.38:8.9,5.549,0.00529,-59.5,5.82,-83.1,1810,24,0.0003,-0.0001,0
4,1697171462.745,252#407@166.38:8.9,5.899,0.00713,-70.7,21.6,-83.4,1843,6,0.0003,-0.0002,0
2,1697171462.745,252#407@166.38:8.9,5.547,0.00529,-56.7,3.33,-82.7,1810,25,0.0003,-0.0001,0
4,1697171471.6431,252#407@166.38:8.9,5.904,0,-71.5,13.7,-83.5,1843,7,0.0003,-0.0002,0
2,1697171471.6433,252#407@166.38:8.9,5.547,0.00159,-58.2,8.45,-82.8,1810,26,9.99e-05,0.0001,0
4,1697171480.5412,252#407@166.38:8.9,5.906,0.00902,-72.3,11.7,-83.3,1843,8,0.0004,-0.0002,0
2,1697171480.5414,252#407@166.38:8.9,5.55,0.00391,-58.2,3.42,-83.1,1810,27,0.0004,0.0001,0
4,1697171489.4396,252#407@166.38:8.9,5.897,0.0101,-73.4,2.62,-83.7,1843,9,0.0001,0.0001,0
2,1697171489.4395,252#407@166.38:8.9,5.545,0.00638,-59.8,2.13,-83.3,1810,28,0.0004,-0.0002,0
4,1697171498.3377,252#407@166.38:8.9,5.9,0.00813,-74,17.1,-82.9,1843,10,0.0004,0.0001,0
2,1697171498.3376,252#407@166.38:8.9,5.545,0.00797,-60.7,36.8,-82,1810,29,0.0004,-0.0002,0
4,1697171507.2358,252#407@166.38:8.9,5.902,0.00677,-73.1,11.7,-83,1843,11,0.0004,-0.0002,0
2,1697171507.2357,252#407@166.38:8.9,5.543,0.00357,-58.8,8.51,-82.7,1810,30,0.0003,-0.0002,0
4,1697171516.1339,252#407@166.38:8.9,5.899,0.00957,-72.8,15.9,-82.9,1843,12,0.0004,-0.0002,0
2,1697171516.1338,252#407@166.38:8.9,5.548,0.00357,-58.5,4.64,-82.8,1810,31,0.0003,-0.0002,0
4,1697171525.032,252#407@166.38:8.9,5.898,0.0266,-73.9,17.8,-82.2,1843,13,0.0003,-0.0002,0
2,1697171525.0321,252#407@166.38:8.9,5.546,0.00391,-60.4,1.74,-82.4,1810,32,0.0001,0,0
2,1697171533.9302,252#407@166.38:8.9,5.546,0.00575,-61.4,4.15,-82.5,1810,33,0.0004,0.0001,0
2,1697171542.8284,252#407@166.38:8.9,5.549,0.0108,-63.8,4.69,-83.3,1810,34,0.0004,-0.0001,0
2,1697171551.7264,252#407@166.38:8.9,5.546,0.00276,-61.5,8.98,-83.1,1810,35,0.0003,-0.0002,0
